id,text
155,Reminder: The project deadline is next Friday. Please submit your updates by then.
10,Don't miss out! Enter our sweepstakes for a chance to win big!
27,You've received a special offer just for you! Click to see!
82,Yοu hɑvе ɑ nеw mеssɑgе frοm yοur ϲrush! Opеn іt tο rеɑd! 💖
77,Hey! Let’s grab coffee next week. I’d love to catch up! ☕
79,You’ve been selected for 4 speci4l offer! Click here to cl4im your prize!
90,Your invoice is overdue. Please make the payment to avoid penalties.
46,The project deadline has been extended. More time to perfect it!
136,Looking forward to the team outing next month! 🎉
111,Don't miss out! Enter the sweepst4kes for 4 ch4nce to win 4 luxury c4r!
122,Hey! Just wanted to confirm our meeting for tomorrow at 2 PM.
14,Congratulations! You’ve been pre-approved for a loan!
164,Congratulations! You’ve won a luxury cruise! Enter here to claim: sweepstakes[.]com
76,Your account will be suspended unless you verify your email. Act now!
110,Your subscription has been successfully renewed. Thank you!
28,Reminder: Final exams start next week. Study hard! 📚
95,You have a new notification from your favorite app! Check it out!
78,Your order has been shipped! Track it here: shipping[.]com
62,"Your login 4ttempt w4s unsuccessful. If this w4sn’t you, ple4se reset your p4ssword."
148,Your delivery is scheduled for tomorrow. Please be available!
26,Your delivery has been delayed. Check the tracking link for updates.
30,Can you confirm if you received my last email? Thanks!
8,Your account has been compromised. Log in to secure it now!
96,Your 4ccount will be suspended unless you verify your identity. Act now!
91,Congratulations! You’ve been selected for a special prize! Click here!
104,Reminder: Team meeting tomorrow at 3 PM. Don’t forget!
29,Your invoice is overdue. Please make the payment immediately!
124,Thanks for your input on the project! It really helped!
71,Looking forward to our meeting next week! Let’s finalize the agenda.
15,Can you send me the report by end of day? Thanks!
40,Your subscription is about to expire. Renew now for continued access!
73,Just a reminder about the deadline for the project submissions!
163,Your delivery is scheduled for tomorrow between 2-4 PM. 📅
93,"Your login attempt was blocked. If this wasn’t you, please contact support."
109,Congratulations! You’ve been selected for a $500 gift card! Click here: winbig[.]com
83,The team meeting has been moved to 2 PM. Please adjust your schedule!
139,Can you please confirm the meeting time for next week?
6,You've been selected for a $500 gift card! Click here to claim!
130,You’ve won 4 free gift c4rd! Cl4im it now 4t winbig[.]com
60,Your subscription to our newsletter has been confirmed. Thanks for joining!
105,Your package is stuck in customs. Pay the fees to release it!
123,Your payment is overdue. Please settle your account to avoid penalties.
13,Please review the attached document before our meeting.
68,Congratulations! You’ve been pre-approved for a loan! Act fast!
4,Your parcel is stuck in customs. Pay the fee to release it!
97,The deadline for the scholarship application is approaching!
85,Just a quick reminder about the upcoming deadline for the report!
113,Your delivery is on the way! Expected arrival: tomorrow.
143,Just a quick note to say the presentation went well!
31,Congratulations! You’ve won a luxury car! Claim it now!
64,You have a new follower on social media! Check it out!
18,The school play is this Friday at 7 PM. Don't forget to come!
1,Your invoice for the recent purchase is attached. Please review it.
21,Meeting rescheduled to Thursday at 2 PM. Please update your calendar.
129,Your order has shipped! Track it here: tracking[.]com
7,"Just a heads up, the project deadline has been moved to next week."
3,Hey! Are we still on for lunch tomorrow? Let me know! 😊
147,Congratulations! You’ve been selected for a free vacation!
75,The school play is this Friday! Don’t forget to buy your tickets!
167,Hey! Did you see the latest episode of that show? So good! 😍
32,The team is doing great work! Keep it up! 👍
44,Great news! Your application has been approved!
99,The meeting has been rescheduled to next Thursday. Please update your calendar!
169,"Just a heads up, the presentation is due next week. Let's finalize it!"
87,The sports event is this weekend! Let’s cheer for our team! 🏆
12,You've received a new message from your secret admirer! 💌
20,You've won a $1000 shopping spree! Click here to claim it!
41,You've won a free vacation to Hawaii! Click to claim!
121,You have a new message! Click here to read it: secure[.]site
149,Hey! Can we discuss the project updates later today?
106,"Hey, did you see the latest updates on the project?"
138,You’ve been selected for a special promotion! Act fast!
11,The delivery of your order is scheduled for tomorrow between 10-12.
39,Looking forward to our collaboration on the new project!
166,Your parcel is on hold due to customs fees. Pay now to release it!
84,Your package is on hold due to unpaid customs fees. Pay now!
33,Your package is on its way! Track it here: tracking[.]com
66,The game starts at 7 PM. Let’s meet at the usual spot!
117,Looking forward to the game this weekend! Let’s go! ⚽️
94,The team outing is next Friday! Don’t forget to RSVP!
38,Congratulations! You’ve been chosen for a free gift card!
154,Congratulations! You've been selected for a chance to win a new iPhone! Click here to enter!
9,Great job on the presentation! Everyone loved it! 🎉
25,The deadline for the project is approaching. Let's stay on track!
67,Your package is on the way! Track it here: tracking[.]com
24,Congratulations! You've been selected for a free cruise!
59,Congratulations! You’ve won a free cruise! Click here to claim your prize: sweepstakes[.]com
57,You have a new message from your secret admirer! Open it now! 💌
152,🚨 Urgent: Your account has been compromised! Log in here to secure it: secure[.]site
56,"Just a heads up, the deadline for submissions is next Friday!"
128,Hey! Can we catch up over coffee next week? ☕️
170,You've received a new message from support. Check it out!
63,"Hey, did you get a chance to look at the report I sent?"
114,You’ve been chosen for an exclusive offer! Act now!
145,You have a new message from your bank. Please log in to view.
55,Your parcel is waiting for customs clearance. Pay the fee to release it!
89,Looking forward to the conference next month! Let’s plan our sessions.
132,Your feedback is important to us! Please take a moment to fill out the survey.
48,Just a reminder about the team lunch tomorrow at noon!
115,Reminder: Final project deadline is next Friday. Let’s stay on track!
112,Hey! Can we reschedule our lunch meeting to next week?
34,You've been selected for a chance to win a new laptop!
120,Your parcel is ready for pickup. Visit us at our location!
80,The project deadline is approaching. Please submit your work by Friday!
134,Hey! Did you get a chance to review the document I sent?
43,Your login attempt was unsuccessful. Please try again!
16,"Your subscription has been renewed. If this was not you, contact support."
161,"Hey! Just checking in on that report. Need it by EOD, thanks!"
45,Congratulations! You’ve been selected for a cash prize!
5,Reminder: Team meeting at 3 PM in the conference room.
127,Your account has been temporarily suspended. Please verify your identity.
58,The team lunch is rescheduled to next Wednesday. Let me know if you can make it!
